WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
CAMBRAI,50.18633362,3.232364257,56700,244944,France,Nord-Pas de Calais,FRE1,FR,40824
CASSEL-OXELAERE,50.78330126,2.476599312,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
LE-CATEAU-CAMBRESIS-NOUVELLE,50.11122598,3.553688501,22000,95040,France,Nord-Pas de Calais,FRE1,FR,15840
CAUDRY-BEAUVOIS-2,50.1505624,3.378266496,57247,247307.04,France,Nord-Pas de Calais,FRE1,FR,41217.84
CAULLERY,50.08260277,3.360941581,9000,38880,France,Nord-Pas de Calais,FRE1,FR,6480
COBRIEUX,50.53721322,3.231927818,3600,15552,France,Nord-Pas de Calais,FRE1,FR,2592
COMINES,50.77320258,3.015281883,40000,172800,France,Nord-Pas de Calais,FRE1,FR,28800
COUDEKERQUE-BRANCHE,51.02724023,2.383410378,90050,389016,France,Nord-Pas de Calais,FRE1,FR,64836
CRESPIN,50.42336789,3.64610614,20000,86400,France,Nord-Pas de Calais,FRE1,FR,14400
CYSOING,50.56474622,3.191979168,10500,45360,France,Nord-Pas de Calais,FRE1,FR,7560
DOUAI,50.39307061,3.105689939,165000,712800,France,Nord-Pas de Calais,FRE1,FR,118800
ENNETIERES-EN-WEPPES,50.6266526,2.92189477,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
FACHES-THUMESNIL-HOUPLIN-ANCOISNE,50.58162388,2.98875142,188333,813598.56,France,Nord-Pas de Calais,FRE1,FR,135599.76
FECHAIN,50.26440413,3.230775578,4533,19582.56,France,Nord-Pas de Calais,FRE1,FR,3263.76
CANTIN-GOEULZIN,50.31719973,3.080683921,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
FLINES-LEZ-RACHES,50.41150823,3.189710257,10001,43204.32,France,Nord-Pas de Calais,FRE1,FR,7200.72
FONTAINE-NOTRE-DAME,50.16320944,3.172704796,2250,9720,France,Nord-Pas de Calais,FRE1,FR,1620
FOURMIES,50.01908227,4.020969761,13500,58320,France,Nord-Pas de Calais,FRE1,FR,9720
HERLIES,50.56911465,2.852043191,6833,29518.56,France,Nord-Pas de Calais,FRE1,FR,4919.76
FRESNES-SUR-ESCAUT,50.44058611,3.582887683,36533,157822.56,France,Nord-Pas de Calais,FRE1,FR,26303.76
GHYVELDE,51.04443578,2.521316207,4083,17638.56,France,Nord-Pas de Calais,FRE1,FR,2939.76
GOMMEGNIES,50.26758845,3.690360881,2700,11664,France,Nord-Pas de Calais,FRE1,FR,1944
GONDECOURT,50.55555918,2.981050751,7200,31104,France,Nord-Pas de Calais,FRE1,FR,5184
GORGUE-LA-GORGUE,50.63890327,2.742934562,20000,86400,France,Nord-Pas de Calais,FRE1,FR,14400
GRANDE-SYNTHE,51.00103766,2.300889181,101667,439201.44,France,Nord-Pas de Calais,FRE1,FR,73200.24
GRAVELINES,51.0038277,2.131934531,27000,116640,France,Nord-Pas de Calais,FRE1,FR,19440
ROSULT,50.43904312,3.358628726,12633,54574.56,France,Nord-Pas de Calais,FRE1,FR,9095.76
HAZEBROUCK,50.71497492,2.548165077,25000,108000,France,Nord-Pas de Calais,FRE1,FR,18000
HELESMES,50.37867993,3.358649237,2200,9504,France,Nord-Pas de Calais,FRE1,FR,1584
HERGNIES-BRUILLE-SAINT-AMAND,50.46670825,3.520604261,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
JENLAIN,50.31511676,3.639941157,3000,12960,France,Nord-Pas de Calais,FRE1,FR,2160
LALLAING-FLINES,50.39880351,3.172654085,20049,86611.68,France,Nord-Pas de Calais,FRE1,FR,14435.28
LANDRECIES,50.12832523,3.695102663,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
LEWARDE,50.3408527,3.178867255,5400,23328,France,Nord-Pas de Calais,FRE1,FR,3888
LILLE-MARQUETTE-LEZ-LILLE,50.6743454,3.070228772,555333,2399038.56,France,Nord-Pas de Calais,FRE1,FR,399839.76
LONGUEVILLE-LA-LONGUEVILLE,50.29635115,3.849497319,2000,8640,France,Nord-Pas de Calais,FRE1,FR,1440
LOON-PLAGE,50.98041246,2.221279433,10500,45360,France,Nord-Pas de Calais,FRE1,FR,7560
MARCHIENNES,50.41324616,3.300226134,7200,31104,France,Nord-Pas de Calais,FRE1,FR,5184
MARCOING,50.12408591,3.17607789,4667,20161.44,France,Nord-Pas de Calais,FRE1,FR,3360.24
MARESCHES,50.29373949,3.560409482,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
MARQUETTE-EN-OSTREVANT,50.2851728,3.27432594,2250,9720,France,Nord-Pas de Calais,FRE1,FR,1620
MASNIERES,50.11544902,3.203478233,6883,29734.56,France,Nord-Pas de Calais,FRE1,FR,4955.76
MAUBEUGE,50.27870972,3.991007791,83000,358560,France,Nord-Pas de Calais,FRE1,FR,59760
MERVILLE,50.63912525,2.650159751,12000,51840,France,Nord-Pas de Calais,FRE1,FR,8640
MORBECQUE,50.68276241,2.513186011,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
MORTAGNE-DU-NORD,50.50392611,3.441623031,5850,25272,France,Nord-Pas de Calais,FRE1,FR,4212
NEUF-BERQUIN,50.67577172,2.655327299,2667,11521.44,France,Nord-Pas de Calais,FRE1,FR,1920.24
NIEPPE,50.68880583,2.852325848,11083,47878.56,France,Nord-Pas de Calais,FRE1,FR,7979.76
ONNAING,50.40180632,3.582467866,9000,38880,France,Nord-Pas de Calais,FRE1,FR,6480
ORCHIES,50.47331592,3.25776785,11067,47809.44,France,Nord-Pas de Calais,FRE1,FR,7968.24
OSTRICOURT,50.45309895,3.01680173,7167,30961.44,France,Nord-Pas de Calais,FRE1,FR,5160.24
PECQUENCOURT,50.38346374,3.221617627,11667,50401.44,France,Nord-Pas de Calais,FRE1,FR,8400.24
PHALEMPIN-CAMPHIN-EN-CAREMBAULT,50.51556555,2.999211662,7700,33264,France,Nord-Pas de Calais,FRE1,FR,5544
POIX-DU-NORD,50.1971755,3.600246767,6000,25920,France,Nord-Pas de Calais,FRE1,FR,4320
PONT-A-MARCQ-NOUVELLE,50.52776883,3.119434088,9970,43070.4,France,Nord-Pas de Calais,FRE1,FR,7178.4
ROUVIGNIES-ZI,50.33116323,3.443199128,1800,7776,France,Nord-Pas de Calais,FRE1,FR,1296
QUESNOY-LE-QUESNOY,50.255949,3.630495625,9500,41040,France,Nord-Pas de Calais,FRE1,FR,6840
RAISMES-BEUVRAGES,50.39215343,3.514161788,43200,186624,France,Nord-Pas de Calais,FRE1,FR,31104
SAINS-DU-NORD,50.10150632,4.013983047,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
SAINT-AMAND-LES-EAUX-LECELLES,50.46182742,3.433871258,22500,97200,France,Nord-Pas de Calais,FRE1,FR,16200
SAINT-AUBERT,50.21324857,3.407519354,10000,43200,France,Nord-Pas de Calais,FRE1,FR,7200
SAINT-POL-SUR-MER-DUNKERQUE-LA-SAMARITAINE,51.03520964,2.359371356,40000,172800,France,Nord-Pas de Calais,FRE1,FR,28800
SARS-POTERIES,50.17232064,4.02405462,2667,11521.44,France,Nord-Pas de Calais,FRE1,FR,1920.24
