WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
GALATINI,40.279603,21.478287,5900,25488,Greece,Western Macedonia,EL53,Greece,4248
GALATISTA,40.4587678,23.25713331,5000,21600,Greece,Central Macedonia,EL52,Greece,3600
GALAXIDI,38.37149432,22.39841885,8000,34560,Greece,Central Greece,EL64,Greece,5760
GREVENA,40.09626269,21.46715893,30000,129600,Greece,Western Macedonia,EL53,Greece,21600
GYTHIO,36.770974,22.51520463,12500,54000,Greece,Peloponnese,EL65,Greece,9000
IERAPETRA,35.00903122,25.72226482,25700,111024,Greece,Crete,EL43,Greece,18504
IERISSOS,40.39421671,23.8625362,5000,21600,Greece,Central Macedonia,EL52,Greece,3600
INIADES,38.40539979,21.25094774,13000,56160,Greece,Western Greece,EL63,Greece,9360
INOFYTA-SCHIMATARI,38.31120775,23.5931491,20000,86400,Greece,Central Greece,EL64,Greece,14400
IOANNINA,39.70939851,20.82874111,165000,712800,Greece,Epirus,EL54,Greece,118800
IRAKLIO CRETE,35.30886955,25.11131068,200000,864000,Greece,Crete,EL43,Greece,144000
ITEA,38.44894622,22.42023342,7000,30240,Greece,Central Greece,EL64,Greece,5040
KALABAKA,39.68624381,21.63738358,21667,93601.44,Greece,Thessaly,EL61,Greece,15600.24
KALAMATA,37.03855017,22.05867384,120000,518400,Greece,Peloponnese,EL65,Greece,86400
KALAVRYTA,38.0385,22.100834,8000,34560,Greece,Western Greece,EL63,Greece,5760
KALLITHEA CHALKIDIKIS,40.06024648,23.44000756,12000,51840,Greece,Central Macedonia,EL52,Greece,8640
KALLONI,39.21312,26.238661,9100,39312,Greece,North Aegean,EL41,Greece,6552
KALYMNOS,36.95176777,27.0075433,20000,86400,Greece,South Aegean,EL42,Greece,14400
KAMENA VOURLA,38.77878953,22.74230074,19320,83462.4,Greece,Central Greece,EL64,Greece,13910.4
KARDAMENA,36.78174988,27.10862612,31000,133920,Greece,South Aegean,EL42,Greece,22320
KARDITSA,39.37622612,21.94583813,56050,242136,Greece,Thessaly,EL61,Greece,40356
KARLOVASSI,37.80419395,26.7148986,12217,52777.44,Greece,North Aegean,EL41,Greece,8796.24
KARPENISSI,38.89485383,21.7747895,10000,43200,Greece,Central Greece,EL64,Greece,7200
KARTERADOS,36.41659151,25.45928979,5000,21600,Greece,South Aegean,EL42,Greece,3600
KARYSTOS,37.9999844,24.39138507,9000,38880,Greece,Central Greece,EL64,Greece,6480
KASSANDRIA (SIVIRI),40.03636484,23.37533802,10000,43200,Greece,Central Macedonia,EL52,Greece,7200
