name,name_en,lat,lon,kg_n_per_year,country_code,country,province,workers,liters,__type,kg_p_per_year
way/261990998,way/261990998,47.5056976230648,19.0525562391242,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/265883349,way/265883349,47.4714213268517,19.0077132415519,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/270024505,way/270024505,47.54386365,19.08831495,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/270028565,way/270028565,47.5415766,19.09100945,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/273243544,way/273243544,47.6085891560275,19.1037119865724,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/273897043,way/273897043,47.5701637087156,19.0970485146778,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/280791319,way/280791319,47.5195924510602,19.105634226049,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/285457759,way/285457759,47.5143156831686,19.1166264087104,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/287996153,way/287996153,47.43827165,19.02810935,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/289001796,way/289001796,47.436751719867,19.0226728425242,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/290281913,way/290281913,47.4317184,19.0202046,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/295952402,way/295952402,47.4292454540319,19.0101442631409,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/303436268,way/303436268,47.5069690043179,19.0084032960908,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/305461425,way/305461425,47.5319419547007,18.9420494931914,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/310078410,way/310078410,47.5008967711001,19.0507365962994,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/312547402,way/312547402,47.5508028549112,18.9451431255489,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/313525163,way/313525163,47.5111841407407,19.0009676549508,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/317253134,way/317253134,47.5092822761232,18.9769271707671,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/317335692,way/317335692,47.5081644668668,18.9858239006631,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/317775629,way/317775629,47.4968173999826,18.9865366793006,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/319177102,way/319177102,47.5032137705164,18.9971772084429,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/319457181,way/319457181,47.4854929099698,19.0164384525744,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/322656250,way/322656250,47.4844597710731,18.9751086565009,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/322947074,way/322947074,47.5020953306433,18.9728385946746,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/333929617,way/333929617,47.5720424106649,19.0063799038338,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/334044485,way/334044485,47.53849805,19.02391885,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/334749559,way/334749559,47.5400924420532,19.0203256303337,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/336843602,way/336843602,47.5442078316162,19.0232508317637,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/348243118,way/348243118,47.5824451224179,19.0464714706086,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/353155452,way/353155452,47.4716165171808,18.9896894181112,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/362378570,way/362378570,47.4411054170662,19.0273233363743,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/365741536,way/365741536,47.4811349752813,18.9984317794664,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/377450953,way/377450953,47.4145062775915,19.0793679237208,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/393189133,way/393189133,47.5328959634295,19.0649947946658,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/394960890,way/394960890,47.5187782069505,19.0185245778194,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/400790773,way/400790773,47.4786383904546,18.9800282597962,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/400790814,way/400790814,47.47890025,18.9798505,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/400804811,way/400804811,47.4757863954988,18.9808967818521,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/415556517,way/415556517,47.5101246707658,19.0133811232068,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/432402346,way/432402346,47.5200421459352,19.0280807024988,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/451575369,way/451575369,47.4642861907869,18.9891105856699,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/460831347,way/460831347,47.466873486201,18.9896563254685,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/461176694,way/461176694,47.4668272989189,18.9889264566541,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/461989107,way/461989107,47.4583229707462,19.0441453608242,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/467957118,way/467957118,47.4454946154672,19.0109088912273,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/479120500,way/479120500,47.45581680802,19.0259659401462,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/481886561,way/481886561,47.4629488661185,19.0107697022657,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/488427695,way/488427695,47.4456369447767,19.0125087425271,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/491775772,way/491775772,47.5213002150259,19.0287504786254,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/493610835,way/493610835,47.4423319014947,19.0227574321288,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/494195092,way/494195092,47.52594755,18.9802091,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/495022335,way/495022335,47.523974,19.02033475,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/495169312,way/495169312,47.5304335074305,19.1270047097543,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/538501022,way/538501022,47.527666593971,18.9948530679218,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/538585272,way/538585272,47.4734820620152,18.985159069847,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/539708577,way/539708577,47.4747994355546,19.0770311330705,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/542975560,way/542975560,47.5208256457688,19.0077140411272,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/548883647,way/548883647,47.4648360293541,18.987996605914,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/556495213,way/556495213,47.5325886998772,18.9912243590555,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/567547454,way/567547454,47.5591169529761,19.088602539809,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/583478323,way/583478323,47.5334032024795,19.0071780218999,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/584018269,way/584018269,47.5164570303133,19.0352730570779,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/659388069,way/659388069,47.4361879790073,19.0075507594192,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/660901318,way/660901318,47.463725101836,19.1322011325751,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/667728766,way/667728766,47.5281911670208,19.1183239020739,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/670297709,way/670297709,47.53273855,18.995651,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/673421129,way/673421129,47.5349315173883,18.9779428691678,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/685016980,way/685016980,47.4238240750078,19.1344999268964,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/689227551,way/689227551,47.5105198049397,19.0661136550052,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/718135522,way/718135522,47.5509758,19.0464372,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/746387682,way/746387682,47.4721580971916,18.9794272731404,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/781644110,way/781644110,47.5576271000383,19.1205299660075,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/788174284,way/788174284,47.553574986267,19.1211320691919,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/793050320,way/793050320,47.531742729233,19.1145758143755,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/796310003,way/796310003,47.5644361645557,19.1270393684351,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/814340626,way/814340626,47.5511966293601,18.951118082486,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/818600921,way/818600921,47.5594253617509,18.9469661335092,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/829110605,way/829110605,47.4869797839818,19.0463656472969,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/846345636,way/846345636,47.5600303244883,19.0947774925216,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/857527327,way/857527327,47.5277824590809,19.1213793547043,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/890487857,way/890487857,47.411231419231,19.0159875128184,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/890834775,way/890834775,47.4858142073206,18.9752119262118,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/926663324,way/926663324,47.5708191,18.9332174,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/926663325,way/926663325,47.5705554,18.9334838,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/926663326,way/926663326,47.5709843399131,18.9337395428973,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/926663327,way/926663327,47.5712062672621,18.9335726392314,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/940169414,way/940169414,47.4656421939016,18.9898047329589,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
