WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Gyermely - Szennyviztisztito Telep,47.613161,18.63964,2033,8904.54,Hungary,Közép-Dunántúl,HU21,Hungary
Gyomaendrod - Szennyviztisztito Telep,46.923951,20.756303,16846,73785.48,Hungary,Dél-Alföld,HU33,Hungary
Gyomro - Szennyviztisztito Telep,47.404587,19.377248,32000,140160.0,Hungary,Pest,HU12,Hungary
Gyongyos - Szennyviztisztito Telep,47.760587,19.908436,99333,435078.54,Hungary,Észak-Magyarország,HU31,Hungary
Gyongyosoroszi - Karolytaro - Szennyviztisztito Telep,47.866824,19.870201,137,600.06,Hungary,Észak-Magyarország,HU31,Hungary
Gyongyospata - Szennyviztisztito Telep,47.803266,19.799802,1208,5291.04,Hungary,Észak-Magyarország,HU31,Hungary
Gyongyostarjan - Szennyviztisztito Telep,47.799744,19.885119,1666,7297.08,Hungary,Észak-Magyarország,HU31,Hungary
Gyonk - Szennyviztisztito Telep,46.542263,18.491638,1297,5680.86,Hungary,Dél-Dunántúl,HU23,Hungary
Gyor - Szennyviztisztito Telep,47.729906,17.685262,375000,1642500.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Gyorsovenyhaz - Szennyviztisztito Telep,47.703778,17.373259,858,3758.04,Hungary,Nyugat-Dunántúl,HU22,Hungary
Gyula - Szennyviztisztito Telep,46.624089,21.268091,104000,455520.0,Hungary,Dél-Alföld,HU33,Hungary
Gyulahaza - Szennyviztisztito Telep,48.137659,22.099857,6250,27375.0,Hungary,Észak-Alföld,HU32,Hungary
Hahot - Szennyviztisztito Telep,46.642939,16.92946,500,2190.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Hajduboszormeny - Szennyviztisztito Telep,47.676946,21.485494,63500,278130.0,Hungary,Észak-Alföld,HU32,Hungary
Hajduhadhaz - Szennyviztisztito Telep,47.69132,21.658238,19265,84380.7,Hungary,Észak-Alföld,HU32,Hungary
Hajdunanas - Szennyviztisztito Telep,47.821827,21.406308,21000,91980.0,Hungary,Észak-Alföld,HU32,Hungary
Hajduszoboszlo - Szennyviztisztito Telep,47.428253,21.371137,35783,156729.54,Hungary,Észak-Alföld,HU32,Hungary
Patyod - Szennyviztisztito Telep,47.867061,22.638561,500,2190.0,Hungary,Észak-Alföld,HU32,Hungary
Hajduszovat - Szennyviztisztito Telep,47.395279,21.48789,2542,11133.96,Hungary,Észak-Alföld,HU32,Hungary
Hajos - Szennyviztisztito Telep,46.396526,19.151515,6600,28908.0,Hungary,Dél-Alföld,HU33,Hungary
Halmaj - Szennyviztisztito Telep,48.238317,21.00826,7000,30660.0,Hungary,Észak-Magyarország,HU31,Hungary
Halmajugra - Szennyviztisztito Telep,47.756199,20.062941,1150,5037.0,Hungary,Észak-Magyarország,HU31,Hungary
Harc-Szennyviztisztito Telep,46.397675,18.626807,755,3306.9,Hungary,Dél-Dunántúl,HU23,Hungary
Harkany - Szennyviztisztito Telep,45.840768,18.233136,13333,58398.54,Hungary,Dél-Dunántúl,HU23,Hungary
Harskut - Szennyviztisztito Telep,47.188507,17.793194,530,2321.4,Hungary,Közép-Dunántúl,HU21,Hungary
Harta - Szennyviztisztito Telep,46.684444,19.018067,8574,37554.12,Hungary,Dél-Alföld,HU33,Hungary
Hatvan - Szennyviztisztito Telep,47.66112,19.680952,32667,143081.46,Hungary,Észak-Magyarország,HU31,Hungary
Hedervar - Szennyviztisztito Telep,47.821453,17.457449,12000,52560.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Hegyesd - Szennyviztisztito Telep,46.905986,17.519577,2895,12680.1,Hungary,Közép-Dunántúl,HU21,Hungary
Hegyeshalom - Szennyviztisztito Telep,47.916971,17.171099,8400,36792.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Hegyhathodasz Szennyviztisztito Telep,46.9333,16.660984,180,788.4,Hungary,Nyugat-Dunántúl,HU22,Hungary
Hegyhatszentjakab - Szennyviztisztito Telep,46.859105,16.549548,700,3066.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Hegymagas - Szennyviztisztito Telep,46.830465,17.428059,652,2855.76,Hungary,Közép-Dunántúl,HU21,Hungary
Hegymeg - Szennyviztisztito Telep,48.329462,20.863823,50,219.0,Hungary,Észak-Magyarország,HU31,Hungary
Hehalom - Szennyviztisztito Telep,47.765913,19.580842,5200,22776.0,Hungary,Észak-Magyarország,HU31,Hungary
Herceghalom - Szennyviztisztito Telep,47.498294,18.759936,6250,27375.0,Hungary,Pest,HU12,Hungary
Hercegszanto - Szennyviztisztito Telep,45.935455,18.951498,2086,9136.68,Hungary,Dél-Alföld,HU33,Hungary
Hered Uj - Szennyviztisztito telep,47.695127,19.629604,2749,12040.62,Hungary,Észak-Magyarország,HU31,Hungary
Hereg - Szennyviztisztito Telep,47.639538,18.520878,408,1787.04,Hungary,Közép-Dunántúl,HU21,Hungary
Herend - Szennyviztisztito Telep,47.128305,17.758815,7100,31098.0,Hungary,Közép-Dunántúl,HU21,Hungary
Hernadszentandras - Szennyviztisztito Telep,48.293997,21.084594,5400,23652.0,Hungary,Észak-Magyarország,HU31,Hungary
