location,name,country,province,kg_n_per_year,students,country_code,name_en,kg_p_per_year
"47.26833333, 11.39333333",Medical University of Innsbruck,Austria,Tirol,2995.162625,3607,AT,Medical University of Innsbruck,299.5162625
"46.61666667, 14.3",University of Klagenfurt,Austria,Kärnten,10563.20038,12721,AT,University of Klagenfurt,1056.320038
"55.8659, -4.2631",Glasgow School of Art,,,1328.6,1600,,Glasgow School of Art,132.86
"52.28916667, 104.28",Irkutsk State University,,,14946.75,18000,,Irkutsk State University,1494.675
"50.97805556, 11.02888889",University of Erfurt,Germany,Thüringen,4781.29925,5758,DE,University of Erfurt,478.129925
"43.15, 20.51666667",International University of Novi Pazar,RS,Region Šumadije i Zapadne Srbije,3321.5,4000,RS,International University of Novi Pazar,332.15
"59.266926, 15.19652247",Ãrebro University,Sweden,Östra Mellansverige,9663.90425,11638,SE,Örebro University,966.390425
"65.58382088, 22.1914983",LuleÃ¥ University of Technology,Sweden,Övre Norrland,15905.83313,19155,SE,Luleå University of Technology,1590.583313
"62.39550919, 17.28599426",Mid Sweden University,Sweden,Mellersta Norrland,10218.59475,12306,SE,Mid Sweden University,1021.859475
"53.75944444, -2.698055555",University of Lancashire,,,23956.31875,28850,,University of Lancashire,2395.631875
"55.7278, 37.6286",Plekhanov Russian Economic University,,,13618.98038,16401,,Plekhanov Russian Economic University,1361.898038
"56.8477, 60.5748",Ural State University of Railway Transport,,,14946.75,18000,,Ural State University of Railway Transport,1494.675
"53.9277, 27.5607",Maxim Tank Belarusian State Pedagogical University,,,12870.8125,15500,,Maxim Tank Belarusian State Pedagogical University,1287.08125
"49.8425, 24.03222222",National Forestry University,,,5812.625,7000,,National Forestry University,581.2625
"49.74138889, 13.3825",University of West Bohemia,Czechia,Jihozápad,9276.9495,11172,CZ,University of West Bohemia,927.69495
"42.01027778, 20.97138889",South East European University,MK,Severna Makedonija,3321.5,4000,MK,South East European University,332.15
"41.7225, 44.7925",Ilia State University,,,13785.05538,16601,,Ilia State University,1378.505538
"41.3869, 2.1699",Open University of Catalonia,Spain,Cataluña,72242.625,87000,ES,Open University of Catalonia,7224.2625
"41.1175, 1.252777777",Rovira i Virgili University,Spain,Cataluña,9649.787875,11621,ES,Rovira i Virgili University,964.9787875
"41.41477966, 2.133085012",Open University of Catalonia,Spain,Cataluña,72242.625,87000,ES,Open University of Catalonia,7224.2625
"48.8458, 2.3558",Paris Institute of Earth Physics,France,Ile-de-France,63.938875,77,FR,Paris Institute of Earth Physics,6.3938875
"55.6697, 37.4807",Moscow State Institute of Radio-engineering Electronics and Automation,,,17853.89288,21501,,Moscow State Institute of Radio-engineering Electronics and Automation,1785.389288
"46.35, 48.035",Astrakhan State University,,,13286,16000,,Astrakhan State University,1328.6
"53.3489, 83.7798",Altai State Medical University,,,4151.875,5000,,Altai State Medical University,415.1875
"47.486, 19.0578",Corvinus University of Budapest,Hungary,Budapest,14946.75,18000,HU,Corvinus University of Budapest,1494.675
"55.58333333, 13",MalmÃ¶ University,Sweden,Sydsverige,12974.60938,15625,SE,Malmö University,1297.460938
"57.6897, 11.9737",Chalmers University of Technology,Sweden,Västsverige,8945.629875,10773,SE,Chalmers University of Technology,894.5629875
"58.40941804, 15.62565613",LinkÃ¶ping University,Sweden,Östra Mellansverige,18634.44538,22441,SE,Linköping University,1863.444538
"59.34777778, 18.07305556",Royal Institute of Technology,Sweden,Stockholm,11856.09425,14278,SE,Royal Institute of Technology,1185.609425
"53.794, -1.751",University of Bradford,,,8025.574375,9665,,University of Bradford,802.5574375
"51.58861111, -2.997777777","University of Wales, Newport",,,7996.51125,9630,,"University of Wales, Newport",799.651125
"55.6518, 37.5159",Peoples' Friendship University of Russia,,,26371.87963,31759,,Peoples' Friendship University of Russia,2637.187963
"59.9434, 30.3417",European University at Saint Petersburg,,,141.16375,170,,European University at Saint Petersburg,14.116375
