location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"41.385897, 2.129383",Presó de Dones de Barcelona,Spain,Cataluña,166.0,100.0,ES,Presó de Dones de Barcelona,16.6075
"43.459725, -3.456875",Penal de El Dueso,,,558.0,336.0,,Penal de El Dueso,55.8012
"55.17504885, -6.947858832",HM Prison Magilligan,,,943.0,568.0,,HM Prison Magilligan,94.3306
"46.9874, 7.0601",Witzwil Prison,Switzerland,Espace Mittelland,276.0,166.0,CH,Witzwil Prison,27.5684
"46.9874, 7.0601",Witzwil Prison,Switzerland,Espace Mittelland,306.0,184.0,CH,Witzwil Prison,27.5684
"46.9874, 7.0601",Witzwil Prison,Switzerland,Espace Mittelland,731.0,440.0,CH,Witzwil Prison,27.5684
"46.9737813, 7.13424683",Bellechasse,Switzerland,Espace Mittelland,337.0,203.0,CH,Bellechasse,33.7132
"46.9737813, 7.13424683",Bellechasse,Switzerland,Espace Mittelland,565.0,340.0,CH,Bellechasse,33.7132
"52.1228, 8.6775",Justizvollzugsanstalt Herford,Germany,Detmold,590.0,355.0,DE,Justizvollzugsanstalt Herford,58.9566
"48.1232, 11.5834",Justizvollzugsanstalt München,Germany,Oberbayern,206.0,124.0,DE,Justizvollzugsanstalt München,20.5933
"50.05861111, 14.43888889",Pankrác Prison,Czechia,Praha,1835.0,1105.0,CZ,Pankrác Prison,183.513
"54.69138889, 25.26638889",Lukiškės Prison,Lithuania,Sostinės regionas,1661.0,1000.0,LT,Lukiškės Prison,166.075
"48.26422, 1.6271",Camp de Voves,France,Centre — Val de Loire,1461.0,880.0,FR,Camp de Voves,146.146
"51.56361111, 7.916388888",Werl Prison,Germany,Arnsberg,1717.0,1034.0,DE,Werl Prison,171.722
"49.436, 11.8602",Amberg Prison,Germany,Oberpfalz,862.0,519.0,DE,Amberg Prison,86.1929
"49.436, 11.8602",Amberg Prison,Germany,Oberpfalz,1827.0,1100.0,DE,Amberg Prison,86.1929
"49.4373084, 11.8588102",Amberg Prison,Germany,Oberpfalz,862.0,519.0,DE,Amberg Prison,86.1929
"49.4373084, 11.8588102",Amberg Prison,Germany,Oberpfalz,1827.0,1100.0,DE,Amberg Prison,86.1929
"49.89341111, 10.89123889",Drudenhaus,Germany,Oberfranken,50.0,30.0,DE,Drudenhaus,4.98225
"47.49759576, 11.08846769",Gefängnis,Germany,Oberbayern,85.0,51.0,DE,Gefängnis,8.46983
"50.82138889, 4.3475",Prison of Saint-Gilles,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,837.0,504.0,BE,Prison of Saint-Gilles,83.7018
"47.4328, 8.47472",Pöschwies Correctional Facility,Switzerland,Zürich,663.0,399.0,CH,Pöschwies Correctional Facility,66.2639
"47.96962952, 11.21817622",Justiz-Vollzugsanstalt (Rothenfeld),Germany,Oberbayern,181.0,109.0,DE,Justiz-Vollzugsanstalt (Rothenfeld),18.1022
"42.48484077, 27.44505504",Burgas Prison,Bulgaria,Yugoiztochen,1246.0,750.0,BG,Burgas Prison,124.556
"50.082, 14.3136",Ruzyně prison,Czechia,Praha,1511.0,910.0,CZ,Ruzyně prison,151.128
"41.8881, -8.8529",Q19949772,Spain,Galicia,1442.0,868.0,ES,Q19949772,144.153
"55.655, 11.4059",Q12336929,Denmark,Sjælland,269.0,162.0,DK,Q12336929,26.9042
"54.8862, 11.9226",Storstrøm Prison,Denmark,Sjælland,415.0,250.0,DK,Storstrøm Prison,41.5187
"46.2151, 6.22423",Q15052899,Switzerland,Région lémanique,458.0,276.0,CH,Q15052899,45.8367
"46.2151, 6.22423",Q15052899,Switzerland,Région lémanique,624.0,376.0,CH,Q15052899,45.8367
"46.2151, 6.22423",Q15052899,Switzerland,Région lémanique,648.0,390.0,CH,Q15052899,45.8367
"46.2151, 6.22423",Q15052899,Switzerland,Région lémanique,661.0,398.0,CH,Q15052899,45.8367
"49.1744, 16.5797",věznice Brno,Czechia,Jihovýchod,963.0,580.0,CZ,věznice Brno,96.3235
