WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
VADO_OSCURO,41.8063838,13.1295964,3000,12960,Italy,Lazio,ITI4,Italy,2160
VIA_LUCE_MISERIS,41.6081642,13.4288207,400,1728,Italy,Lazio,ITI4,Italy,288
CAMPO_SPORTIVO,41.6011462,13.4095408,3000,12960,Italy,Lazio,ITI4,Italy,2160
FRAZIONE_COLLE_IATELLA,41.6801235,13.7952786,600,2592,Italy,Lazio,ITI4,Italy,432
CONTRADA_S_QUIRICO,41.8419208,13.0741891,300,1296,Italy,Lazio,ITI4,Italy,216
CONTRADA_LA_MOLA,41.8307002,13.0875394,2500,10800,Italy,Lazio,ITI4,Italy,1800
CONTRADA_S_MARTINO,41.8403279,13.0909981,800,3456,Italy,Lazio,ITI4,Italy,576
VIA_FORMICCHIA,41.6709695,13.1547446,1000,4320,Italy,Lazio,ITI4,Italy,720
LOC_COLLE_S_GIUSTO,41.6861924,13.1513199,2500,10800,Italy,Lazio,ITI4,Italy,1800
VIA_TOFARO,41.7108058,13.5885308,24000,103680,Italy,Lazio,ITI4,Italy,17280
LA_MOLETTA,41.6598382,13.4131235,10000,43200,Italy,Lazio,ITI4,Italy,7200
LOC_AGNONE,41.4769158,13.8338658,40000,172800,Italy,Lazio,ITI4,Italy,28800
DEPURATORE_CAPOLUOGO_PONTECORVO,41.4483066,13.6649317,5000,21600,Italy,Lazio,ITI4,Italy,3600
CAPPUCCINI_TRUELI_OVEST,41.6951264,13.4113364,1000,4320,Italy,Lazio,ITI4,Italy,720
CASAMARI,41.6688104,13.4800809,2500,10800,Italy,Lazio,ITI4,Italy,1800
LOC_LA_TORRETTA,41.7813186,13.3190849,3000,12960,Italy,Lazio,ITI4,Italy,2160
CAPOLUOGO,41.7062517,13.8040991,3000,12960,Italy,Lazio,ITI4,Italy,2160
SPULLA,41.6211802,13.4501901,2500,10800,Italy,Lazio,ITI4,Italy,1800
VIA_VICENNE,41.6217819,13.4793369,3000,12960,Italy,Lazio,ITI4,Italy,2160
VALLE_PARA_CASAVITOLA,41.649633,13.4387033,2500,10800,Italy,Lazio,ITI4,Italy,1800
VIA_COLLE_DELLE_MELE,41.77563,13.22967,72000,311040,Italy,Lazio,ITI4,Italy,51840
COLLE_CARINO,41.6661,13.59278,700,3024,Italy,Lazio,ITI4,Italy,504
SETTIGNANO,41.6299,13.75484,3500,15120,Italy,Lazio,ITI4,Italy,2520
PORRINO,41.67226,13.51581,2000,8640,Italy,Lazio,ITI4,Italy,1440
PERNA_CHIAIAMARI,41.65071,13.54582,1000,4320,Italy,Lazio,ITI4,Italy,720
FONTANA_MAGNA,41.63493,13.51945,3300,14256,Italy,Lazio,ITI4,Italy,2376
COLLE_PUPAZZO,41.65509,13.49976,1500,6480,Italy,Lazio,ITI4,Italy,1080
SAN_ROCCO,41.5496,13.65579,2800,12096,Italy,Lazio,ITI4,Italy,2016
ROCCASECCA_SCALO,41.5234,13.62938,7000,30240,Italy,Lazio,ITI4,Italy,5040
CENTRO_CAPOLUOGO_SCAFA,41.41365,13.77354,2300,9936,Italy,Lazio,ITI4,Italy,1656
FONTANA_DEL_DIAVOLO,41.79935,13.05503,1550,6696,Italy,Lazio,ITI4,Italy,1116
SANT_ANGELO,41.62982258,12.8878132,12000,51840,Italy,Lazio,ITI4,Italy,8640
DEP_COM_PANTANO,41.78199,12.89088,3000,12960,Italy,Lazio,ITI4,Italy,2160
DEP_COM_FONTANA_MARCHETTA,41.78223,12.89075,1500,6480,Italy,Lazio,ITI4,Italy,1080
DEP_COM_LA_VALLE_MORLUPO,42.13938,12.50835,10000,43200,Italy,Lazio,ITI4,Italy,7200
DEP_COM_VIA_PALOMBARA,42.13781,12.09197,2500,10800,Italy,Lazio,ITI4,Italy,1800
DEP_COM_PARTE_DI_SOTTO,42.20549,12.49015,6500,28080,Italy,Lazio,ITI4,Italy,4680
Depuratore urbano Ardea-BERGAMO,41.587461,12.511977,75200,324864,Italy,Lazio,ITI4,Italy,54144
Depuratore comunale FILETTINO,41.890609,13.32422,513,2216.16,Italy,Lazio,ITI4,Italy,369.36
CAMPOMARINO_CONTRADA_MARINELLE,41.97028378,15.03785716,35000,151200,Italy,Molise,ITF2,Italy,25200
TERMOLI_PANTANO_BASSO,41.96192651,15.00543258,23000,99360,Italy,Molise,ITF2,Italy,16560
RICCIA_PESCO_DELLO_ZINGARO,41.49080264,14.83576955,8000,34560,Italy,Molise,ITF2,Italy,5760
RIPALIMOSANI_LOC_PESCO_FARESE_N_I_,41.59635521,14.67594171,3500,15120,Italy,Molise,ITF2,Italy,2520
SAN_MASSIMO_CAMPITELLO_MATESE,41.4656032,14.38759202,4199,18139.68,Italy,Molise,ITF2,Italy,3023.28
SEPINO_MACCHIE,41.4127738,14.64020196,3900,16848,Italy,Molise,ITF2,Italy,2808
