WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o. Oczyszczalnia Ścieków,50.7016,22.3857,15853,69436.14,Poland,Lubelskie,PL81,Poland
Włodawa,51.5561,23.5678,52800,231264.0,Poland,Lubelskie,PL81,Poland
Radzyń Podlaski,51.4623,22.3515,32667,143081.46,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Parczewie,51.6341,22.8667,15700,68766.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Bychawie,51.0306,22.5251,10315,45179.7,Poland,Lubelskie,PL81,Poland
Snopków,51.1833,22.2935,9940,43537.2,Poland,Lubelskie,PL81,Poland
"Terespol """""""""""""""""""""""""""""""" Wschód""""""""""""""""""""""""""""""""",52.0812,23.6344,7300,31974.0,Belarus,,,Belarus
Oczyszczalnia Koroszczyn,52.0713,23.559,9000,39420.0,Poland,,,Poland
Oczyszczalnia Ścieków w Bełżycach,51.17775,22.30118,9667,42341.46,Poland,Lubelskie,PL81,Poland
Zwierzyniec,50.617,22.7957,5400,23652.0,Poland,Lubelskie,PL81,Poland
Mechaniczno-Biologiczna Oczyszczalnia Ścieków w Milejowie,51.2249,22.9343,37510,164293.8,Poland,Lubelskie,PL81,Poland
Szczebrzeszyn,50.7074,23.007,8000,35040.0,Poland,Lubelskie,PL81,Poland
Miejski Zakład Wodociągów i Kanalizacji,51.1101,23.2464,4400,19272.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Nałęczowie,51.2879,22.193,14500,63510.0,Poland,Lubelskie,PL81,Poland
Niemce,51.359,22.634,7800,34164.0,Poland,Lubelskie,PL81,Poland
Werbkowice,50.7624,23.7643,2930,12833.4,Poland,Lubelskie,PL81,Poland
Stoczek Łukowski,51.9619,21.9755,4039,17690.82,Poland,Lubelskie,PL81,Poland
Strzyżów,50.8401,24.035,3000,13140.0,Poland,,,Poland
Niedrzwica,51.123,22.3998,3339,14624.82,Poland,Lubelskie,PL81,Poland
Tarnogród,50.2245,22.4441,3547,15535.86,Poland,Podkarpackie,PL82,Poland
Wisznice,51.7991,23.1928,3480,15242.4,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Bochotnicy,51.3221,21.9454,8000,35040.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków Kock,51.6365,22.4326,5500,24090.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków Bełżec,50.3858,23.454,3627,15886.26,Poland,Lubelskie,PL81,Poland
Ostrów Lubelski,51.5094,22.8512,4000,17520.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Adamowie,51.7333,22.2729,3400,14892.0,Poland,Lubelskie,PL81,Poland
Hutki,50.5535,23.1785,6670,29214.6,Poland,Lubelskie,PL81,Poland
Janów Podlaski Ecolo-Chief,52.2038,23.2154,3341,14633.58,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Kurowie,51.3829,22.1665,6820,29871.6,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Annopolu,50.8917,21.8511,4000,17520.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Piaskach,51.14,22.8584,3564,15610.32,Poland,Lubelskie,PL81,Poland
Frampol,50.6693,22.658,2242,9819.96,Poland,Lubelskie,PL81,Poland
Trawniki,51.1473,22.9964,5485,24024.3,Poland,Lubelskie,PL81,Poland
Michów,51.5335,22.3091,40000,175200.0,Poland,Lubelskie,PL81,Poland
Tyszowce,50.6155,23.7037,4000,17520.0,Poland,Lubelskie,PL81,Poland
Puchaczów,51.3078,22.965,3670,16074.6,Poland,Lubelskie,PL81,Poland
Rejowiec,51.0889,23.271,4373,19153.74,Poland,Lubelskie,PL81,Poland
Tarło,51.515,22.6894,2850,12483.0,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Garbów,51.352,22.325,3051,13363.38,Poland,Lubelskie,PL81,Poland
Mechaniczno - biologiczna Oczyszczalnia Ścieków w Lubyczy Królewskiej,50.3417,23.5323,3533,15474.54,Poland,Lubelskie,PL81,Poland
Piszczac,51.9806,23.3631,3500,15330.0,Poland,Lubelskie,PL81,Poland
Wąwolnica,51.3306,22.0611,1838,8050.44,Poland,Lubelskie,PL81,Poland
Płudy - Gminna Oczyszczalnia Ścieków SUPERBOS 500,52.0256,22.5433,5000,21900.0,Poland,Mazowiecki regionalny,PL92,Poland
Józefów,50.4747,23.0321,3287,14397.06,Poland,Lubelskie,PL81,Poland
Lipiny Dolne,50.3996,22.5111,3210,14059.8,Poland,Podkarpackie,PL82,Poland
Tereszpol,50.57836,22.8685,3585,15702.3,Poland,Lubelskie,PL81,Poland
Wierzbica,51.2561,23.2978,2250,9855.0,Poland,Lubelskie,PL81,Poland
Gminna Oczyszczalnia Ścieków w Czemiernikach,51.6814,22.6401,4250,18615.0,Poland,Lubelskie,PL81,Poland
Wohyń,51.7633,22.7771,6250,27375.0,Poland,Lubelskie,PL81,Poland
Tarnawatka,50.53677,23.3754,2130,9329.4,Poland,Lubelskie,PL81,Poland
Urszulin,51.3917,23.2008,4217,18470.46,Poland,Lubelskie,PL81,Poland
Dębina,51.9464,21.9828,5492,24054.96,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Karczmiskach,51.2317,21.9703,3705,16227.9,Poland,Lubelskie,PL81,Poland
Gminna Oczyszczalnia Ścieków w Biszczy,50.4394,22.6183,2171,9508.98,Poland,Lubelskie,PL81,Poland
Różaniec Pierwszy,50.2026,22.5127,2395,10490.1,Poland,Podkarpackie,PL82,Poland
Urzędów,50.992,22.1286,1793,7853.34,Poland,Lubelskie,PL81,Poland
bez nazwy,51.5526,22.542,5083,22263.54,Poland,Lubelskie,PL81,Poland
Jeziorzany,51.5981,22.2531,3450,15111.0,Poland,Lubelskie,PL81,Poland
Gminna Oczyszczalnia Ścieków w Konstantynowie,52.2032,23.0975,2700,11826.0,Poland,Lubelskie,PL81,Poland
Zamch,50.312,23.0006,4603,20161.14,Poland,Lubelskie,PL81,Poland
Bytyń,51.3371,23.6348,3323,14554.74,Poland,Lubelskie,PL81,Poland
Bystrzyca,50.9521,22.3874,5000,21900.0,Poland,Lubelskie,PL81,Poland
Jedlanka,51.5111,22.9225,2670,11694.6,Poland,Lubelskie,PL81,Poland
Oczyszczalnia Ścieków w Łukowej,50.2211,22.5815,2458,10766.04,Poland,Podkarpackie,PL82,Poland
GOŚ ŁAM,51.728,19.3477,1026260,4495018.8,Poland,Łódzkie,PL71,Poland
Miejska Oczyszczalnia Ścieków,51.3849,19.7397,165660,725590.8,Poland,Łódzkie,PL71,Poland
