WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Miejsko – Przemysłowa Oczyszczalnia Ścieków Sp. z o.o.,50.0381,19.3199,94500,413910.0,Poland,Małopolskie,PL21,Poland
Oczyszczalnia Ścieków Wadowickiego Przedsiębiorstwa Wodociągów i Kanalizacji Spółka z o.o.,49.88894,19.5047,85000,372300.0,Poland,Małopolskie,PL21,Poland
Oczyszczalnia Ścieków,49.98028,19.81639,92000,402960.0,Poland,Małopolskie,PL21,Poland
Olkusz,50.2814,19.529,75000,328500.0,Poland,Śląskie,PL22,Poland
Gorlice M,49.6742,21.1872,67450,295431.0,Poland,Małopolskie,PL21,Poland
Myślenice,49.8414,19.9668,55000,240900.0,Poland,Małopolskie,PL21,Poland
Krzyszkowice,49.8889,19.9137,21000,91980.0,Poland,Małopolskie,PL21,Poland
Oczyszczalnia Ścieków w Bochni,49.9999,20.4509,53000,232140.0,Poland,Małopolskie,PL21,Poland
Andrychów,49.8648,19.3433,43023,188440.74,Poland,Małopolskie,PL21,Poland
Rejonowa Oczyszczalnia Ścieków,49.754,19.6054,40000,175200.0,Poland,Małopolskie,PL21,Poland
Kęty,49.8927,19.2016,23330,102185.4,Poland,Śląskie,PL22,Poland
Łęki,49.9605,19.2122,5227,22894.26,Poland,Małopolskie,PL21,Poland
Powroźnik,49.37696,20.94969,39606,173474.28,Slovakia,Východné Slovensko,SK04,Slovakia
Polany,49.52264,20.99332,2300,10074.0,Poland,Małopolskie,PL21,Poland
Czarna Góra,49.3753,20.1203,8500,37230.0,Poland,Małopolskie,PL21,Poland
OŚ Trzebinia,50.2041,19.4136,17645,77285.1,Poland,Małopolskie,PL21,Poland
